"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,00115,경북,구미,,임오,남구미IC ~ 구미IC,167.3~172.3,5.0 ,8,수*,"77,038 ","84,450 ","79,940 ","85,560 ","90,586 ","58,615 ","1,419 ","11,170 ","4,905 ","6,615 ","2,098 ","2,135 ",65 ,77 ,"2,712 ",145 ,630 
,00116,경북,구미,,원평,구미IC ~ 북구미하이패스IC,172.3~179.3,7.0 ,8,수*,"69,016 ","78,833 ","71,994 ","75,639 ","76,849 ","49,700 ","1,196 ","9,497 ","4,155 ","5,610 ","1,788 ","1,815 ",56 ,67 ,"2,313 ",123 ,529 
,00116-1,경북,구미,,부곡,북구미하이패스IC ~ 김천JCT,179.3~183.2,3.9 ,8,수*,-     ,-     ,-     ,-     ,"72,814 ","47,240 ","1,129 ","9,011 ","3,932 ","5,228 ","1,683 ","1,705 ",53 ,59 ,"2,154 ",117 ,503 
,김천 - 비룡,,,,,,,85.2 ,,12,"26,681 ","27,122 ","27,772 ","30,039 ","30,336 ","19,098 ",440 ,"3,542 ","1,054 ","2,036 ",959 ,"1,387 ",9 ,12 ,"1,127 ",43 ,629 
,,,,,,,,,,24,"38,764 ","38,382 ","38,997 ","42,486 ","42,501 ","24,527 ",537 ,"4,403 ","1,395 ","4,125 ","1,497 ","2,456 ",10 ,13 ,"2,326 ",58 ,"1,154 "
,00117,경북,김천,아포,국사,김천JCT ~ 동김천IC,183.2~192.3,9.1 ,6,수*,"37,115 ","39,954 ","40,918 ","44,925 ","46,442 ","27,135 ",608 ,"4,908 ","1,522 ","4,344 ","1,595 ","2,590 ",12 ,14 ,"2,445 ",61 ,"1,208 "
,00117-1,경북,김천,남,초곡,동김천IC ~ 김천IC,192.3~200.3,8.0 ,6,수*,"35,196 ","37,798 ","36,451 ","38,827 ","40,066 ","23,144 ",508 ,"4,167 ","1,302 ","3,885 ","1,418 ","2,311 ",11 ,13 ,"2,173 ",56 ,"1,078 "
,00118,경북,김천,,교,김천IC ~ 추풍령IC,200.3~212.3,12.0 ,6,수*,"40,321 ","37,699 ","39,096 ","39,314 ","39,206 ","22,534 ",489 ,"4,062 ","1,280 ","3,851 ","1,389 ","2,284 ",10 ,13 ,"2,166 ",56 ,"1,072 "
,00119,경북,김천,봉산,광천,추풍령IC ~ 황간IC,212.3~222.4,10.1 ,6,수*,"38,876 ","35,111 ","33,922 ","38,435 ","38,290 ","22,041 ",478 ,"3,974 ","1,250 ","3,729 ","1,367 ","2,220 ",9 ,13 ,"2,103 ",54 ,"1,052 "
,00120,충북,영동,황간,마산,황간IC ~ 영동IC,222.4~232.3,9.9 ,6,수*,"36,605 ","34,393 ","34,752 ","40,340 ","39,809 ","22,926 ",500 ,"4,107 ","1,312 ","3,897 ","1,394 ","2,318 ",9 ,12 ,"2,198 ",54 ,"1,082 "
