"노선
번호","지 점
번 호",조사 위치,,,,구    간,이정 (km),"연장
(km)","차
로
수","시
간",2018,2019,2020,2021,계,승용차,버스,소형 화물차,,중형 화물차,,,대형 화물차,,,,
,,도,시/군,구/면,동/리,,,,,,,,,,,1종,2종,3종,4종,5종,6종,7종,8종,9종,10종,11종,12종
,안성 - 대소,,,,,,,34.2 ,,12,"40,011 ","40,356 ","40,581 ","41,899 ","42,412 ","25,047 ",301 ,"5,496 ","2,650 ","4,231 ","1,591 ","1,603 ",2 ,24 ,"1,104 ",38 ,325 
,,,,,,,,,,24,"51,248 ","51,684 ","51,356 ","55,171 ","56,515 ","33,612 ",377 ,"6,840 ","3,712 ","5,557 ","2,250 ","2,033 ",8 ,27 ,"1,661 ",48 ,390 
,04004,경기,안성,원곡,외가천,안성JCT ~ 서안성IC,23.7~25.7,2.0 ,6,수*,"67,808 ","76,794 ","73,062 ","72,941 ","76,503 ","45,549 ",512 ,"9,226 ","5,042 ","7,497 ","3,051 ","2,740 ",9 ,32 ,"2,260 ",60 ,525 
,04005,경기,안성,원곡,반제,서안성IC ~ 남안성IC,25.7~35.9,10.2 ,4,상*,"57,978 ","55,080 ","54,721 ","59,090 ","61,846 ","36,834 ",415 ,"7,454 ","4,061 ","6,058 ","2,471 ","2,219 ",9 ,28 ,"1,826 ",49 ,422 
,04006,경기,안성,미양,보체,남안성IC ~ 북진천IC,35.9~55.8,19.9 ,4,수*,"48,271 ","49,519 ","49,485 ","53,236 ","53,112 ","31,563 ",353 ,"6,446 ","3,487 ","5,235 ","2,109 ","1,915 ",7 ,26 ,"1,556 ",47 ,368 
,04007,충북,진천,광혜원,죽현,북진천IC ~ 대소JCT,55.8~57.9,2.1 ,4,수*,"30,993 ","31,763 ","31,968 ","37,461 ","43,814 ","26,016 ",288 ,"5,317 ","2,875 ","4,327 ","1,748 ","1,581 ",6 ,21 ,"1,289 ",39 ,307 
평택제천선,대소 - 충주,,,,,,,27.6 ,,12,"25,350 ","26,262 ","26,788 ","28,229 ","29,297 ","17,565 ",326 ,"3,178 ","1,246 ","2,005 ","1,680 ","1,082 ",2 ,-   ,"1,980 ",50 ,183 
,,,,,,,,,,24,"32,550 ","33,623 ","34,230 ","36,828 ","38,341 ","22,659 ",397 ,"4,007 ","1,609 ","2,746 ","2,262 ","1,490 ",2 ,-   ,"2,873 ",62 ,234 
,04008,충북,음성,대소,미곡,대소JCT ~ 금왕꽃동네IC,57.9~65.1,7.2 ,4,수*,"36,872 ","39,826 ","40,921 ","43,624 ","45,604 ","26,965 ",477 ,"4,790 ","1,912 ","3,263 ","2,687 ","1,778 ",2 ,-   ,"3,382 ",71 ,277 
,04009,충북,음성,금왕,상봉,금왕꽃동네IC ~ 음성IC,65.1~72.4,7.3 ,4,상*,"34,198 ","35,656 ","37,677 ","39,687 ","39,718 ","23,533 ",409 ,"4,160 ","1,660 ","2,836 ","2,332 ","1,536 ",2 ,-   ,"2,943 ",64 ,243 
,04010,충북,음성,생극,육령,음성IC ~ 서충주IC,72.4~77.8,5.4 ,4,수*,"31,748 ","30,720 ","30,506 ","33,759 ","35,846 ","21,193 ",368 ,"3,742 ","1,500 ","2,566 ","2,115 ","1,395 ",2 ,-   ,"2,686 ",59 ,220 
,04011,충북,충주,신니,모남,서충주IC ~ 충주JCT,77.8~85.5,7.7 ,4,상*,"27,452 ","27,850 ","27,235 ","29,825 ","31,993 ","18,833 ",330 ,"3,314 ","1,354 ","2,305 ","1,901 ","1,243 ",2 ,-   ,"2,463 ",53 ,195 
,충주 - 제천,,,,,,,41.4 ,,12,"14,117 ","16,934 ","16,149 ","17,620 ","18,574 ","11,708 ",287 ,"1,802 ",410 ,984 ,873 ,590 ,4 ,-   ,"1,832 ",3 ,81 
,,,,,,,,,,24,"18,302 ","21,014 ","21,006 ","22,211 ","24,436 ","15,226 ",359 ,"2,340 ",531 ,"1,380 ","1,170 ",771 ,4 ,-   ,"2,553 ",4 ,98 
,04012,충북,충주,노은,문성,충주JCT ~ 노은JCT,85.5~90.9,5.4 ,4,상*,"23,198 ","23,363 ","22,982 ","24,544 ","26,668 ","16,149 ",327 ,"2,690 ",884 ,"1,733 ","1,445 ",948 ,1 ,-   ,"2,328 ",26 ,137 
,04013,충북,충주,노은,신효,노은JCT ~ 동충주IC,90.9~103.2,12.3 ,4,수*,"21,987 ","23,872 ","24,911 ","25,696 ","27,757 ","17,330 ",415 ,"2,637 ",549 ,"1,542 ","1,308 ",854 ,5 ,-   ,"3,013 ",1 ,103 
,04014,충북,충주,엄정,율능,동충주IC ~ 제천JCT,103.2~126.9,23.7 ,4,상*,"15,272 ","18,994 ","18,528 ","19,870 ","22,205 ","13,923 ",337 ,"2,106 ",442 ,"1,215 ","1,036 ",687 ,5 ,-   ,"2,366 ",1 ,87 
중부내륙선,내서 - 칠원,,,,,,,3.5 ,,12,"18,326 ","17,624 ","16,894 ","19,070 ","18,700 ","12,058 ",351 ,"2,261 ",998 ,"1,440 ",533 ,574 ,1 ,-   ,346 ,16 ,122 
,,,,,,,,,,24,"23,902 ","22,318 ","21,771 ","24,231 ","23,641 ","15,242 ",444 ,"2,859 ","1,262 ","1,821 ",674 ,726 ,1 ,-   ,438 ,20 ,154 
,04501,경남,창원시,마산회원,호계,내서JCT ~ 칠원JCT,0~3.5,3.5 ,4,상,"23,902 ","22,318 ","21,771 ","24,231 ","23,641 ","15,242 ",444 ,"2,859 ","1,262 ","1,821 ",674 ,726 ,1 ,-   ,438 ,20 ,154 
,칠원 - 현풍,,,,,,,48.9 ,,12,"36,144 ","36,256 ","36,183 ","38,620 ","38,096 ","20,581 ",640 ,"4,379 ","2,047 ","3,437 ","1,225 ","2,413 ",1 ,-   ,"1,860 ",32 ,"1,481 "
,,,,,,,,,,24,"51,328 ","50,333 ","50,656 ","53,797 ","52,546 ","26,313 ",856 ,"5,559 ","2,999 ","5,808 ","1,750 ","3,489 ",1 ,-   ,"3,499 ",55 ,"2,217 "
,04501-1,경남,함안,칠서,부곡,칠원JCT ~ 칠서IC,3.5~8.7,5.2 ,4,수*,"62,587 ","59,872 ","60,645 ","59,816 ","58,073 ","29,315 ",977 ,"6,219 ","3,300 ","6,249 ","1,920 ","3,826 ",1 ,-   ,"3,763 ",55 ,"2,448 "
,04502,경남,함안,칠서,천계,칠서IC ~ 남지IC,8.7~17.5,8.8 ,4,수*,"48,326 ","51,110 ","50,552 ","54,278 ","52,776 ","26,401 ",863 ,"5,584 ","3,013 ","5,811 ","1,762 ","3,484 ",1 ,-   ,"3,555 ",54 ,"2,248 "
,04503,경남,창녕,남지,남지,남지IC ~ 영산IC,17.5~24.4,6.9 ,4,수*,"49,632 ","46,824 ","46,601 ","50,971 ","51,075 ","25,456 ",829 ,"5,375 ","2,932 ","5,702 ","1,702 ","3,393 ",1 ,-   ,"3,467 ",54 ,"2,164 "
,04504,경남,창녕,계성,봉산,영산IC ~ 창녕IC,24.4~36,11.6 ,4,수*,"50,785 ","48,529 ","46,698 ","51,410 ","51,789 ","25,948 ",843 ,"5,473 ","2,953 ","5,735 ","1,724 ","3,447 ",1 ,-   ,"3,433 ",53 ,"2,179 "
,04505,경남,창녕,창녕,직교,창녕IC ~ 현풍JCT,36~52.4,16.4 ,4,수*,"50,469 ","49,646 ","52,078 ","54,517 ","51,824 ","25,933 ",835 ,"5,474 ","2,958 ","5,763 ","1,728 ","3,456 ",1 ,-   ,"3,444 ",56 ,"2,176 "
중부내륙선,현풍 - 김천,,,,,,,62.0 ,,12,"18,804 ","19,397 ","19,504 ","20,721 ","20,483 ","9,909 ",268 ,"2,415 ","1,114 ","2,269 ","1,338 ","1,136 ",-   ,1 ,"1,060 ",18 ,955 
,,,,,,,,,,24,"29,118 ","28,950 ","28,772 ","30,655 ","29,892 ","12,776 ",402 ,"3,186 ","1,570 ","3,962 ","2,312 ","1,820 ",4 ,1 ,"2,191 ",30 ,"1,638 "
,04506,대구,달성,현풍,지동,현풍JCT ~ 고령JCT,52.4~63.1,10.7 ,4,수*,"32,173 ","30,854 ","30,396 ","32,903 ","32,313 ","15,083 ",485 ,"3,418 ","1,774 ","3,909 ","1,717 ","2,059 ",2 ,-   ,"2,279 ",32 ,"1,555 "
,04506-1,경북,고령,성산,강정,고령JCT ~ 남성주IC,63.1~73.7,10.6 ,4,수*,"31,014 ","30,376 ","31,271 ","33,063 ","31,563 ","13,343 ",418 ,"3,389 ","1,644 ","4,214 ","2,590 ","1,883 ",5 ,1 ,"2,299 ",30 ,"1,747 "
,04506-2,경북,성주,용암,본리,남성주IC ~ 성주IC,73.7~85.6,11.9 ,4,수*,"29,004 ","30,045 ","28,157 ","31,124 ","30,024 ","12,608 ",394 ,"3,211 ","1,562 ","4,045 ","2,478 ","1,804 ",5 ,1 ,"2,203 ",30 ,"1,683 "
,04506-3,경북,성주,대가,옥성,성주IC ~ 남김천IC,85.6~102.3,16.7 ,4,수*,"28,329 ","28,000 ","27,989 ","28,905 ","28,466 ","11,876 ",369 ,"3,036 ","1,481 ","3,864 ","2,366 ","1,724 ",5 ,1 ,"2,108 ",29 ,"1,607 "
,04506-4,경북,김천,남,월명,남김천IC ~ 김천JCT,102.3~114.4,12.1 ,4,수*,"25,956 ","26,247 ","26,801 ","28,471 ","28,115 ","11,645 ",368 ,"2,983 ","1,454 ","3,842 ","2,355 ","1,701 ",5 ,1 ,"2,119 ",29 ,"1,613 "
,김천 - 낙동,,,,,,,24.6 ,,12,"36,350 ","37,052 ","37,277 ","39,515 ","37,547 ","22,636 ",651 ,"4,318 ","2,029 ","3,636 ","1,155 ","1,184 ",-   ,1 ,"1,163 ",51 ,723 
,,,,,,,,,,24,"55,038 ","54,062 ","54,004 ","57,974 ","54,621 ","29,625 ",901 ,"5,716 ","2,923 ","7,305 ","2,176 ","2,185 ",-   ,1 ,"2,475 ",94 ,"1,220 "
,04507,경북,김천,아포,국사,김천JCT ~ 선산IC,114.4~123.4,9.0 ,4*,수*,"54,310 ","53,201 ","53,481 ","57,224 ","53,380 ","28,993 ",883 ,"5,595 ","2,856 ","7,124 ","2,125 ","2,127 ",-   ,1 ,"2,399 ",93 ,"1,184 "
,04507-1,경북,구미,선산,봉곡,선산IC ~ 낙동JCT,123.4~139,15.6 ,4,수*,"55,457 ","54,559 ","54,304 ","58,404 ","55,338 ","29,989 ",911 ,"5,786 ","2,962 ","7,410 ","2,206 ","2,219 ",-   ,1 ,"2,519 ",95 ,"1,240 "
중부내륙선,낙동 - 충주,,,,,,,100.0 ,,12,"30,044 ","32,269 ","33,043 ","35,798 ","37,099 ","24,204 ",924 ,"3,872 ","1,173 ","2,916 ","1,160 ","1,321 ",76 ,33 ,"1,005 ",18 ,397 
,,,,,,,,,,24,"46,561 ","48,018 ","48,421 ","52,484 ","54,193 ","32,084 ","1,219 ","5,696 ","1,941 ","6,078 ","2,078 ","2,338 ",118 ,62 ,"2,065 ",31 ,483 
,04508,경북,상주,낙동,유곡,낙동JCT ~ 상주IC,139~146.4,7.4 ,4,수*,"48,402 ","49,220 ","51,430 ","53,160 ","55,306 ","32,783 ","1,272 ","5,805 ","1,970 ","6,167 ","2,118 ","2,388 ",119 ,66 ,"2,087 ",32 ,499 
,04508-1,경북,상주,,헌신,상주IC ~ 북상주IC,146.4~159.4,13.0 ,4,수*,"45,578 ","48,048 ","48,150 ","51,031 ","53,603 ","31,772 ","1,223 ","5,618 ","1,901 ","5,982 ","2,050 ","2,334 ",115 ,65 ,"2,023 ",31 ,489 
,04508-2,경북,상주,공검,역곡,북상주IC ~ 점촌함창IC,159.4~166.9,7.5 ,4,수*,"46,172 ","46,140 ","46,602 ","49,626 ","53,235 ","31,492 ","1,212 ","5,579 ","1,932 ","5,994 ","2,040 ","2,276 ",120 ,58 ,"2,031 ",32 ,469 
,04508-3,경북,상주,함창,나한,점촌함창IC ~ 문경새재IC,166.9~180.9,14.0 ,4,수*,"45,799 ","44,917 ","44,755 ","50,780 ","54,911 ","32,397 ","1,244 ","5,772 ","1,984 ","6,210 ","2,113 ","2,376 ",121 ,62 ,"2,108 ",31 ,493 
,04508-4,경북,문경,마성,남호,문경새재IC ~ 연풍IC,180.9~194.9,14.0 ,4,수*,"47,345 ","48,822 ","50,074 ","53,027 ","54,023 ","31,929 ","1,214 ","5,673 ","1,939 ","6,089 ","2,079 ","2,335 ",118 ,60 ,"2,075 ",31 ,481 
,04508-5,충북,괴산,연풍,적석,연풍IC ~ 괴산IC,194.9~209.1,14.2 ,4,수*,"50,082 ","52,396 ","48,884 ","52,460 ","53,393 ","31,594 ","1,190 ","5,612 ","1,912 ","6,003 ","2,053 ","2,307 ",116 ,59 ,"2,042 ",31 ,474 
,04509-1,충북,괴산,장연,조곡,괴산IC ~ 충주IC,209.1~224.6,15.5 ,4,수*,"44,042 ","45,465 ","47,857 ","52,063 ","52,558 ","31,161 ","1,170 ","5,530 ","1,882 ","5,883 ","2,012 ","2,253 ",115 ,59 ,"2,000 ",31 ,462 
,04509,충북,충주,이류,완오,충주IC ~ 북충주IC,224.6~233.8,9.2 ,4,수*,"45,175 ","45,113 ","46,779 ","55,093 ","55,166 ","32,675 ","1,219 ","5,820 ","1,972 ","6,182 ","2,115 ","2,379 ",118 ,63 ,"2,107 ",31 ,485 
,04510,충북,충주,노은,수룡,북충주IC ~ 충주JCT,233.8~239,5.2 ,4,수*,"47,254 ","55,876 ","56,160 ","59,126 ","59,324 ","35,347 ","1,315 ","6,271 ","2,102 ","6,521 ","2,252 ","2,529 ",127 ,69 ,"2,232 ",33 ,526 
중부내륙선,충주 - 여주,,,,,,,26.6 ,,12,"43,743 ","43,314 ","45,266 ","48,652 ","53,265 ","39,046 ","1,095 ","4,295 ","2,628 ","3,155 ",875 ,796 ,216 ,6 ,956 ,1 ,196 
,,,,,,,,,,24,"62,346 ","62,515 ","65,983 ","68,904 ","75,566 ","55,391 ","1,553 ","6,093 ","3,729 ","4,477 ","1,242 ","1,129 ",306 ,8 ,"1,357 ",2 ,279 
,04510-1,충북,충주,노은,연하,충주JCT ~ 감곡IC,239~251.1,12.1 ,4,상*,"55,976 ","58,579 ","61,723 ","65,771 ","72,227 ","52,818 ","1,488 ","5,803 ","3,590 ","4,345 ","1,199 ","1,092 ",293 ,7 ,"1,319 ",1 ,272 
,04511,충북,음성,감곡,상우,감곡IC ~ 여주JCT,251.1~265.6,14.5 ,4,상,"67,662 ","65,798 ","69,539 ","71,519 ","78,351 ","57,538 ","1,608 ","6,335 ","3,845 ","4,587 ","1,278 ","1,160 ",317 ,9 ,"1,388 ",2 ,284 
,여주 - 양평,,,,,,,36.1 ,,12,"9,550 ","9,724 ","9,922 ","10,414 ","10,667 ","7,886 ",109 ,"1,191 ",420 ,457 ,268 ,205 ,-   ,-   ,109 ,1 ,21 
,,,,,,,,,,24,"11,979 ","12,428 ","12,159 ","13,033 ","13,370 ","9,876 ",136 ,"1,473 ",510 ,601 ,320 ,255 ,1 ,-   ,171 ,2 ,25 
,04512,경기,여주,가남,본두,여주JCT ~ 남여주IC,265.6~268,2.4 ,4,수*,"17,304 ","19,824 ","18,854 ","19,332 ","20,430 ","15,118 ",209 ,"2,236 ",774 ,924 ,490 ,382 ,1 ,-   ,259 ,2 ,35 
,04512-1,경기,여주,능서,구양,남여주IC ~ 서여주IC,268~273.8,5.8 ,4,수*,"13,413 ","13,858 ","13,106 ","14,717 ","15,449 ","11,402 ",155 ,"1,706 ",588 ,698 ,372 ,296 ,1 ,-   ,201 ,2 ,28 
,04513,경기,여주,능서,구양,서여주IC ~ 북여주IC,273.8~283.2,9.4 ,4,수*,"14,747 ","14,876 ","15,054 ","15,472 ","15,470 ","11,370 ",158 ,"1,718 ",594 ,713 ,376 ,302 ,1 ,-   ,207 ,2 ,29 
,04514,경기,양평,강상,세월,북여주IC ~ 남양평하이패스IC,283.2~296.7,13.5 ,4,상*,"9,959 ","10,695 ","10,148 ","11,384 ","11,739 ","8,691 ",120 ,"1,288 ",448 ,518 ,280 ,223 ,1 ,-   ,145 ,2 ,23 
,04514-1,경기,양평,옥천,아신,남양평하이패스IC ~ 양평IC,296.7~301.7,5.0 ,4,수*,"8,120 ","7,438 ","7,965 ","8,037 ","8,016 ","5,979 ",81 ,877 ,300 ,344 ,183 ,144 ,-   ,-   ,94 ,-   ,14 
영동선,서창 - 군자,,,,,,,8.0 ,,12,"81,067 ","87,727 ","87,997 ","93,940 ","106,525 ","70,122 ",954 ,"16,595 ","5,070 ","4,949 ","2,164 ","4,065 ",14 ,3 ,"2,011 ",22 ,556 
,,,,,,,,,,24,"117,674 ","126,557 ","126,172 ","138,774 ","149,409 ","100,261 ","1,313 ","21,008 ","7,246 ","7,198 ","3,201 ","5,408 ",15 ,8 ,"3,070 ",52 ,629 
,05002,인천,,남동,서창,서창JCT ~ 월곶JCT,0~6,6.0 ,6,수*,"128,513 ","138,727 ","137,297 ","142,630 ","145,465 ","96,475 ","1,325 ","20,637 ","7,407 ","7,137 ","3,292 ","5,577 ",1 ,6 ,"2,915 ",55 ,638 
,05003,경기,시흥,,월곶,월곶JCT ~ 군자JCT,6~8,2.0 ,6,수*,"85,155 ","90,042 ","93,354 ","127,401 ","161,233 ","111,617 ","1,278 ","22,120 ","6,762 ","7,379 ","2,927 ","4,901 ",55 ,15 ,"3,536 ",43 ,600 
,군자 - 안산,,,,,,,10.0 ,,12,"76,953 ","83,971 ","80,047 ","87,473 ","83,803 ","59,322 ",514 ,"12,581 ","2,674 ","3,036 ","1,095 ","2,071 ",74 ,13 ,"2,126 ",8 ,289 
,,,,,,,,,,24,"109,999 ","119,273 ","113,019 ","124,638 ","119,153 ","85,228 ",800 ,"15,863 ","4,076 ","5,279 ","1,734 ","2,835 ",74 ,13 ,"2,844 ",17 ,390 
,05003-1,경기,시흥,,거모,군자JCT ~ 서안산IC,8~12.5,4.5 ,6,수*,"97,799 ","107,288 ","101,792 ","112,183 ","97,292 ","69,443 ",659 ,"13,028 ","3,347 ","4,315 ","1,422 ","2,334 ",60 ,11 ,"2,338 ",16 ,319 
,05004,경기,안산,단원,선부,서안산IC ~ 안산IC,12.5~15.9,3.4 ,6,수*,"126,210 ","134,051 ","128,843 ","140,964 ","133,353 ","95,562 ",888 ,"17,706 ","4,528 ","5,865 ","1,933 ","3,152 ",83 ,14 ,"3,170 ",17 ,435 
,05005,경기,안산,상록,양상,안산IC ~ 안산JCT,15.9~18,2.1 ,9,수*,"111,248 ","122,305 ","112,219 ","125,678 ","142,997 ","102,320 ",958 ,"18,954 ","4,907 ","6,396 ","2,079 ","3,393 ",88 ,15 ,"3,401 ",17 ,469 
,안산 - 신갈,,,,,,,23.8 ,,12,"93,108 ","97,005 ","95,533 ","105,845 ","113,226 ","81,720 ",964 ,"15,260 ","4,229 ","4,198 ","1,674 ","1,847 ",71 ,16 ,"2,894 ",6 ,347 
,,,,,,,,,,24,"135,782 ","140,148 ","138,261 ","152,878 ","164,380 ","118,970 ","1,440 ","21,361 ","6,042 ","6,613 ","2,616 ","2,768 ",113 ,29 ,"3,982 ",11 ,435 
,05006,경기,안산,상록,부곡,안산JCT ~ 둔대JCT,18~22.7,4.7 ,6,수*,"134,129 ","127,446 ","122,552 ","131,255 ","144,118 ","103,854 ","1,116 ","18,865 ","5,127 ","6,078 ","2,213 ","2,866 ",94 ,19 ,"3,462 ",10 ,414 
,05006-1,경기,군포,,둔대,둔대JCT ~ 군포IC,22.7~24.4,1.7 ,6,수*,"131,491 ","129,506 ","130,577 ","140,151 ","156,903 ","113,560 ","1,381 ","20,305 ","5,843 ","6,320 ","2,548 ","2,547 ",108 ,30 ,"3,854 ",10 ,397 
,05007,경기,군포,,대야미,군포IC ~ 동군포IC,24.4~26,1.6 ,6,상*,"127,736 ","142,435 ","135,445 ","149,948 ","152,430 ","110,357 ","1,335 ","19,714 ","5,686 ","6,138 ","2,477 ","2,451 ",107 ,30 ,"3,741 ",11 ,383 
,05008,경기,의왕,,부곡,동군포IC ~ 부곡IC,26~28,2.0 ,6,수*,"138,241 ","167,512 ","167,272 ","157,295 ","158,933 ","115,178 ","1,411 ","20,533 ","5,900 ","6,349 ","2,564 ","2,561 ",110 ,30 ,"3,882 ",10 ,405 
,05009,경기,의왕,,삼,부곡IC ~ 북수원IC,28~30.8,2.8 ,6,수*,"134,355 ","143,231 ","137,744 ","160,784 ","162,961 ","118,095 ","1,444 ","21,064 ","6,047 ","6,516 ","2,627 ","2,626 ",111 ,30 ,"3,979 ",10 ,412 
,05010,경기,수원,장안,파장,북수원IC ~ 동수원IC,30.8~36.9,6.1 ,8,수*,"134,327 ","144,385 ","143,044 ","164,559 ","182,679 ","132,447 ","1,645 ","23,634 ","6,726 ","7,271 ","2,923 ","2,967 ",129 ,32 ,"4,413 ",11 ,481 
,05011,경기,수원,영통,이의,동수원IC ~ 신갈JCT,36.9~41.8,4.9 ,8,상*,"143,141 ","137,333 ","139,741 ","158,572 ","170,571 ","123,430 ","1,562 ","22,335 ","6,309 ","6,729 ","2,705 ","2,773 ",118 ,32 ,"4,112 ",12 ,454 
영동선,신갈 - 호법,,,,,,,31.4 ,,12,"91,420 ","92,681 ","91,374 ","97,972 ","101,571 ","73,024 ","3,286 ","10,312 ","4,546 ","4,786 ","2,055 ","1,370 ",12 ,2 ,"1,697 ",59 ,422 
,,,,,,,,,,24,"126,759 ","128,882 ","125,776 ","137,416 ","144,581 ","101,068 ","4,426 ","14,059 ","7,236 ","8,322 ","3,541 ","2,489 ",14 ,3 ,"2,807 ",79 ,537 
,05012,경기,용인,기흥,신갈,신갈JCT ~ 마성IC,41.8~48.4,6.6 ,10,수*,"153,176 ","160,182 ","150,613 ","165,332 ","168,970 ","124,635 ","4,847 ","16,536 ","7,643 ","7,627 ","2,688 ","1,924 ",44 ,6 ,"2,509 ",33 ,478 
,05013,경기,용인,포곡,마성,마성IC ~ 서용인JCT,48.4~50,1.6 ,10,수*,"144,688 ","148,596 ","143,988 ","155,725 ","165,673 ","121,679 ","4,756 ","16,399 ","7,613 ","7,592 ","2,661 ","1,925 ",42 ,6 ,"2,488 ",35 ,477 
,05013-1,경기,용인,처인,유방,서용인JCT ~ 용인IC,50~52.5,2.5 ,10,수*,-     ,-     ,-     ,-     ,"163,480 ","111,495 ","5,131 ","15,837 ","8,553 ","10,298 ","4,625 ","3,240 ",4 ,3 ,"3,513 ",116 ,665 
,05014,경기,용인,처인,유방,용인IC ~ 양지IC,52.5~60.5,8.0 ,8,수*,"133,006 ","128,140 ","125,923 ","137,653 ","146,476 ","99,907 ","4,599 ","14,192 ","7,657 ","9,228 ","4,142 ","2,897 ",4 ,2 ,"3,150 ",100 ,598 
,05015,경기,용인,양지,양지,양지IC ~ 덕평IC,60.5~67.6,7.1 ,8,수*,"104,168 ","106,969 ","106,764 ","116,909 ","126,498 ","86,445 ","3,996 ","12,228 ","6,563 ","7,928 ","3,553 ","2,483 ",3 ,2 ,"2,688 ",90 ,519 
,05016,경기,이천,마장,각평,덕평IC ~ 호법JCT,67.6~73.2,5.6 ,8,수*,"102,645 ","106,796 ","107,403 ","117,142 ","121,586 ","82,947 ","3,820 ","11,806 ","6,312 ","7,670 ","3,439 ","2,403 ",3 ,2 ,"2,594 ",86 ,504 
,호법 - 여주,,,,,,,15.1 ,,12,"77,782 ","83,071 ","81,334 ","90,805 ","93,116 ","64,885 ","3,172 ","8,479 ","4,462 ","5,222 ","2,533 ","2,031 ",38 ,7 ,"1,754 ",74 ,459 
,,,,,,,,,,24,"109,038 ","113,898 ","110,745 ","126,332 ","129,525 ","88,708 ","4,256 ","11,523 ","6,124 ","8,642 ","3,668 ","3,064 ",44 ,9 ,"2,797 ",100 ,590 
,05017,경기,이천,호법,안평,호법JCT ~ 이천IC,73.2~79.6,6.4 ,8,수*,"121,362 ","125,937 ","115,376 ","129,975 ","136,366 ","93,260 ","4,485 ","12,130 ","6,448 ","9,189 ","3,879 ","3,235 ",47 ,9 ,"2,966 ",105 ,613 
,05018,경기,이천,대월,사동,이천IC ~ 여주JCT,79.6~88.3,8.7 ,8,상*,"99,971 ","105,041 ","107,340 ","123,651 ","124,492 ","85,359 ","4,087 ","11,077 ","5,885 ","8,240 ","3,513 ","2,939 ",42 ,9 ,"2,672 ",96 ,573 
영동선,여주 - 만종,,,,,,,35.3 ,,12,"29,335 ","30,636 ","30,511 ","33,029 ","34,495 ","24,642 ","1,154 ","3,009 ","1,746 ","1,683 ","1,536 ",96 ,13 ,-   ,535 ,19 ,62 
,,,,,,,,,,24,"38,511 ","40,049 ","39,261 ","42,256 ","45,008 ","31,719 ","1,405 ","3,731 ","2,140 ","2,380 ","2,197 ",556 ,22 ,3 ,732 ,30 ,93 
,05018-1,경기,여주,가남,본두,여주JCT ~ 여주IC,88.3~94.5,6.2 ,4*,상*,"44,913 ","50,417 ","50,695 ","49,123 ","52,720 ","37,084 ","1,632 ","4,384 ","2,538 ","2,806 ","2,587 ",652 ,25 ,3 ,863 ,34 ,112 
,05019,경기,여주,,점봉,여주IC ~ 문막IC,94.5~114.5,20.0 ,4*,수*,"37,915 ","37,988 ","37,341 ","41,652 ","45,072 ","31,792 ","1,408 ","3,728 ","2,134 ","2,376 ","2,194 ",561 ,22 ,3 ,731 ,31 ,92 
,05020,강원,원주,문막,문막,문막IC ~ 만종JCT,114.5~123.6,9.1 ,4*,수*,"35,458 ","37,515 ","35,686 ","38,906 ","39,611 ","27,902 ","1,242 ","3,293 ","1,883 ","2,097 ","1,936 ",480 ,21 ,2 ,644 ,27 ,84 
,만종 - 원주,,,,,,,3.8 ,,12,"18,722 ","19,001 ","17,552 ","19,672 ","20,455 ","14,269 ",656 ,"1,938 ",750 ,"1,287 ",567 ,521 ,-   ,-   ,381 ,12 ,74 
,,,,,,,,,,24,"23,516 ","23,656 ","22,561 ","24,745 ","26,553 ","17,784 ",794 ,"2,467 ","1,042 ","1,963 ",914 ,835 ,-   ,-   ,628 ,18 ,108 
,05021,강원,원주,지정,신평,만종JCT ~ 원주JCT,123.6~127.4,3.8 ,4,수*,"23,516 ","23,656 ","22,561 ","24,745 ","26,553 ","17,784 ",794 ,"2,467 ","1,042 ","1,963 ",914 ,835 ,-   ,-   ,628 ,18 ,108 
,원주 - 강릉,,,,,,,107.0 ,,12,"25,536 ","25,951 ","26,203 ","27,820 ","28,063 ","22,042 ",957 ,"2,061 ",817 ,930 ,453 ,464 ,-   ,-   ,312 ,-   ,27 
,,,,,,,,,,24,"32,259 ","33,033 ","32,374 ","36,198 ","36,384 ","27,728 ","1,183 ","2,719 ","1,272 ","1,529 ",637 ,738 ,-   ,-   ,526 ,5 ,47 
,05021-1,강원,원주,,가현,원주JCT ~ 원주IC,127.4~130.2,2.8 ,4*,수*,"42,312 ","41,898 ","40,639 ","44,526 ","43,881 ","33,384 ","1,434 ","3,351 ","1,535 ","1,842 ",757 ,890 ,-   ,-   ,625 ,8 ,55 
,05022,강원,원주,,태장2,원주IC ~ 새말IC,130.2~142.9,12.7 ,4,수*,"38,626 ","39,872 ","39,538 ","43,114 ","43,390 ","33,071 ","1,414 ","3,308 ","1,517 ","1,803 ",742 ,864 ,-   ,-   ,610 ,6 ,55 
,05023,강원,횡성,우천,우항,새말IC ~ 둔내IC,142.9~160,17.1 ,4,수*,"30,376 ","32,665 ","34,684 ","38,548 ","38,900 ","29,687 ","1,262 ","2,924 ","1,357 ","1,615 ",669 ,780 ,-   ,-   ,551 ,5 ,50 
,05024,강원,횡성,둔내,우용,둔내IC ~ 동둔내하이패스IC,160~167.3,7.3 ,4,수*,"32,910 ","32,641 ","31,483 ","36,025 ","36,152 ","27,529 ","1,175 ","2,709 ","1,274 ","1,531 ",632 ,732 ,-   ,-   ,520 ,5 ,45 
